ID,Latitude_start,Longitude_start,Year_start,Month_start,Season,Zones,x_start,y_start,Latitude_end,Longitude_end,Year_end,Month_end,x_end,y_end,Duration,Distance,Distance_draw
AL101971,24.0,-73.0,1971,8,Summer,Atlantic,-8126322.827908971,2753408.109364979,30.0,-91.0,1971,9,-10130073.662187897,3503549.843504374,4 days 00:00:00.000000000,2057.998358327898,86435.93104977172
AL111971,27.5,-87.5,1971,9,Autumn,Mexico_Caribean,-9740455.444411438,3186080.233365009,26.9,-100.3,1971,9,-11165344.92656534,3110983.616199239,9 days 12:00:00.000000000,1384.843183939902,58163.41372547588
AL121971,13.5,-17.5,1971,9,Autumn,Atlantic,-1948091.0888822877,1516914.445337236,17.0,-42.5,1971,9,-4731078.358714127,1920825.0403774658,5 days 06:00:00.000000000,2782.792908438961,116877.30215443637
AL131971,11.4,-58.0,1971,9,Autumn,Atlantic,-6456530.466009867,1277499.1866471167,34.0,-84.7,1971,9,-9428760.870190272,4028802.0261344067,12 days 12:00:00.000000000,3862.9280652954208,162242.97874240766
AL151971,28.5,-73.5,1971,9,Autumn,Atlantic,-8181982.573305608,3312159.8598184385,32.5,-81.0,1971,9,-9016878.75425516,3829123.8370284378,3 days 00:00:00.000000000,919.4859176697383,38618.40854212901
AL161971,16.0,-16.0,1971,9,Autumn,Atlantic,-1781111.8526923773,1804722.766257292,18.5,-43.0,1971,9,-4786738.104110764,2096156.5384662852,4 days 00:00:00.000000000,2980.9683262148324,125200.66970102295
AL171971,27.1,-72.0,1971,9,Autumn,Atlantic,-8015003.337115698,3135970.9925276837,45.5,-69.0,1971,9,-7681044.864735877,5700582.732404122,4 days 00:00:00.000000000,2070.6424601030735,86966.98332432909
AL181971,11.0,-48.5,1971,9,Autumn,Atlantic,-5398995.303473769,1232106.80189676,12.5,-87.9,1971,9,-9784983.240728749,1402665.189967927,9 days 00:00:00.000000000,4360.481167917581,183140.2090525384
AL191971,11.5,-38.8,1971,9,Autumn,Atlantic,-4319196.242779015,1288857.180495907,19.4,-60.0,1971,9,-6679169.447596415,2202086.5110550304,3 days 12:00:00.000000000,2497.605278004836,104899.4216762031
AL201971,17.5,-84.5,1971,10,Autumn,Mexico_Caribean,-9406496.972031618,1979106.4997243867,30.0,-85.0,1971,10,-9462156.717428254,3503549.843504374,8 days 00:00:00.000000000,1391.0061994188316,58422.26037559092
AL211971,25.0,-58.5,1971,10,Autumn,Atlantic,-6512190.211406505,2875744.6243522423,40.5,-28.9,1971,10,-3217133.2839256064,4938869.175786295,3 days 18:00:00.000000000,3605.495889911865,151430.82737629834
AL221971,12.0,-78.5,1971,11,Autumn,Mexico_Caribean,-8738580.027271977,1345708.408409107,15.3,-90.0,1971,11,-10018754.171394622,1723798.4989824079,9 days 12:00:00.000000000,1321.8221558501828,55516.530545707676
AL011972,31.2,-78.2,1972,5,Spring,Atlantic,-8705184.180033995,3658750.280282992,27.8,-85.5,1972,5,-9517816.46282489,3223781.6854985543,5 days 18:00:00.000000000,871.3654223618406,36597.34773919731
AL021972,20.0,-89.0,1972,6,Summer,Mexico_Caribean,-9907434.68060135,2273030.926987689,41.7,-74.5,1972,6,-8293302.064098882,5116146.294557262,8 days 12:00:00.000000000,2876.1468510116206,120798.16774248806
AL031972,27.5,-69.0,1972,6,Summer,Atlantic,-7681044.864735877,3186080.233365009,31.5,-65.5,1972,6,-7291426.646959419,3697855.3303377028,1 days 18:00:00.000000000,582.7004292072719,24473.418026705418
AL041972,27.0,-78.5,1972,7,Summer,Atlantic,-8738580.027271977,3123471.749104577,34.8,-77.5,1972,7,-8627260.536478702,4136735.049397425,2 days 06:00:00.000000000,873.9294872470256,36705.03846437507
AL051972,37.0,-38.5,1972,7,Summer,Atlantic,-4285800.395541033,4439106.787250586,39.5,-35.5,1972,7,-3951841.923161212,4793547.459104806,4 days 06:00:00.000000000,420.26987388343025,17651.334703104072
AL061972,29.0,-57.0,1972,7,Summer,Atlantic,-6345210.9752165945,3375646.03491931,24.0,-69.0,1972,8,-7681044.864735877,2753408.109364979,3 days 00:00:00.000000000,1413.156985505017,59352.593391210714
AL071972,15.0,-15.0,1972,8,Summer,Atlantic,-1669792.3618991037,1689200.1396078935,14.0,-35.0,1972,8,-3896182.1777645755,1574216.548161465,2 days 06:00:00.000000000,2208.773733544303,92768.49680886073
AL081972,32.0,-77.0,1972,8,Summer,Atlantic,-8571600.791082066,3763310.6271446524,33.0,-73.0,1972,8,-8126322.827908971,3895303.9633938945,3 days 00:00:00.000000000,441.25064979799436,18532.527291515762
AL091972,14.0,-17.0,1972,8,Summer,Atlantic,-1892431.3434856508,1574216.548161465,15.0,-27.5,1972,8,-3061285.9968150235,1689200.1396078935,2 days 00:00:00.000000000,1163.5299806871528,48868.25918886042
AL101972,36.5,-64.0,1972,8,Summer,Atlantic,-7124447.410769509,4369640.510649828,46.2,-37.9,1972,9,-4219008.701065068,5812457.491341963,10 days 06:00:00.000000000,2922.432222222775,122742.15333335656
AL111972,29.0,-78.5,1972,8,Summer,Atlantic,-8738580.027271977,3375646.03491931,47.0,-63.0,1972,9,-7013127.919976235,5942074.072431108,7 days 00:00:00.000000000,2585.6916283212695,108599.04838949331
AL121972,30.5,-51.5,1972,9,Autumn,Atlantic,-5732953.775853589,3567983.4559358223,34.0,-43.0,1972,9,-4786738.104110764,4028802.0261344067,2 days 00:00:00.000000000,987.9602540050677,41494.33066821284
AL131972,23.8,-79.4,1972,9,Autumn,Atlantic,-8838767.568985922,2729056.107633078,32.8,-79.5,1972,9,-8849899.51806525,3868787.2980985106,9 days 12:00:00.000000000,1000.8125652508243,42034.12774053462
AL141972,37.5,-59.5,1972,9,Autumn,Atlantic,-6623509.702199778,4509031.393076654,54.0,-36.0,1972,9,-4007501.668557849,7170156.2939999495,2 days 12:00:00.000000000,3032.503600532904,127365.15122238196
AL151972,13.0,-33.0,1972,9,Autumn,Atlantic,-3673543.1961780284,1459732.2718804963,16.0,-46.5,1972,9,-5176356.321887221,1804722.766257292,4 days 00:00:00.000000000,1526.189479039437,64099.95811965635
AL161972,29.5,-53.5,1972,10,Autumn,Atlantic,-5955592.757440137,3439440.06073126,39.5,-51.0,1972,10,-5677294.030456953,4793547.459104806,2 days 00:00:00.000000000,1143.2948069800439,48018.381893161844
AL171972,11.5,-18.0,1972,10,Autumn,Atlantic,-2003750.8342789244,1288857.180495907,34.0,-51.0,1972,10,-5677294.030456953,4028802.0261344067,10 days 00:00:00.000000000,4404.693775610815,184997.13857565421
AL181972,12.0,-29.0,1972,10,Autumn,Atlantic,-3228265.2330049337,1345708.408409107,14.0,-37.5,1972,10,-4174480.9047477595,1574216.548161465,4 days 00:00:00.000000000,965.1018139105893,40534.27618424475
AL191972,35.0,-47.5,1972,11,Autumn,Atlantic,-5287675.812680495,4163881.1440642904,32.5,-42.5,1972,11,-4731078.358714127,3829123.8370284378,6 days 00:00:00.000000000,600.3129693134108,25213.144711163255
AL011973,24.0,-65.0,1973,4,Spring,Atlantic,-7235766.901562783,2753408.109364979,26.5,-56.5,1973,4,-6289551.229819957,3061141.0388860335,3 days 00:00:00.000000000,963.3336697881801,40460.01413110357
AL021973,25.0,-62.5,1973,5,Spring,Atlantic,-6957468.174579599,2875744.6243522423,30.0,-47.0,1973,5,-5232016.067283859,3503549.843504374,3 days 00:00:00.000000000,1764.3717897956778,74103.61517141847
AL031973,30.0,-79.5,1973,6,Summer,Atlantic,-8849899.51806525,3503549.843504374,33.0,-77.5,1973,6,-8627260.536478702,3895303.9633938945,2 days 00:00:00.000000000,396.3636810537639,16647.274604258084
AL041973,26.0,-67.8,1973,7,Summer,Atlantic,-7547461.475783949,2999080.9434706424,52.0,-56.5,1973,7,-6289551.229819957,6800125.454397307,5 days 06:00:00.000000000,3128.76376209971,131408.07800818782
AL051973,10.5,-34.0,1973,7,Summer,Atlantic,-3784862.6869713017,1175452.6085934306,11.0,-45.5,1973,7,-5065036.831093948,1232106.80189676,2 days 00:00:00.000000000,1274.3185795213656,53521.380339897354
AL061973,32.6,-74.1,1973,7,Summer,Atlantic,-8248774.2677815715,3842330.2172661163,44.0,-68.0,1973,8,-7569725.373942603,5465442.183322749,2 days 12:00:00.000000000,1420.904373235925,59677.98367590885
AL071973,13.0,-20.0,1973,8,Summer,Atlantic,-2226389.8158654715,1459732.2718804963,12.0,-39.0,1973,8,-4341460.140937669,1345708.408409107,2 days 00:00:00.000000000,2103.0064204865325,88326.26966043437
AL081973,20.5,-83.7,1973,8,Summer,Mexico_Caribean,-9317441.379397,2332357.8126193313,17.2,-91.5,1973,8,-10185733.407584533,1944118.6941882698,3 days 18:00:00.000000000,931.0955174066958,39106.01173108122
AL091973,11.0,-14.0,1973,8,Summer,Atlantic,-1558472.8711058302,1232106.80189676,19.0,-66.2,1973,9,-7369350.290514711,2154935.915085892,10 days 06:00:00.000000000,5825.839231770219,244685.2477343492
AL101973,20.5,-86.5,1973,9,Autumn,Mexico_Caribean,-9629135.953618165,2332357.8126193313,29.2,-101.7,1973,9,-11321192.213675924,3401126.2640664903,5 days 12:00:00.000000000,1914.6640952575203,80415.89200081586
AL111973,18.0,-86.0,1973,9,Autumn,Mexico_Caribean,-9573476.208221529,2037548.5447506013,30.0,-95.0,1973,9,-10575351.62536099,3503549.843504374,6 days 00:00:00.000000000,1656.1654411032898,69558.94852633818
AL121973,10.5,-22.4,1973,9,Autumn,Atlantic,-2493556.593769328,1175452.6085934306,55.5,-25.0,1973,9,-2782987.2698318395,7459516.94137966,9 days 00:00:00.000000000,5011.940395784456,210501.49662294716
AL131973,28.5,-77.5,1973,9,Autumn,Atlantic,-8627260.536478702,3312159.8598184385,29.5,-83.0,1973,9,-9239517.735841706,3439440.06073126,2 days 00:00:00.000000000,602.4376691478577,25302.382104210024
AL141973,30.0,-65.8,1973,10,Autumn,Atlantic,-7324822.494197401,3503549.843504374,47.9,-6.5,1973,10,-723576.6901562783,6090234.492705669,4 days 18:00:00.000000000,6527.124880189768,274139.24496797024
AL151973,24.0,-70.5,1973,10,Autumn,Atlantic,-7848024.100925787,2753408.109364979,31.5,-53.5,1973,10,-5955592.757440137,3697855.3303377028,2 days 00:00:00.000000000,2016.8603900186226,84708.13638078215
AL161973,16.3,-82.0,1973,10,Autumn,Mexico_Caribean,-9128198.245048434,1839490.7129754247,61.8,-40.4,1973,10,-4497307.428048252,8811874.377744475,13 days 18:00:00.000000000,6769.190300386872,284305.9926162486
AL171973,10.0,-80.0,1973,11,Autumn,Mexico_Caribean,-8905559.263461886,1118889.9748579597,10.8,-84.0,1973,11,-9350837.226634981,1209433.8422168798,1 days 06:00:00.000000000,451.79690093120064,18975.46983911043
AL011974,19.0,-95.0,1974,6,Summer,Mexico_Caribean,-10575351.62536099,2154935.915085892,23.5,-87.5,1974,6,-9740455.444411438,2692598.2193217874,4 days 00:00:00.000000000,960.5295176757983,40342.23974238353
AL021974,24.0,-88.0,1974,6,Summer,Mexico_Caribean,-9796115.189808074,2753408.109364979,33.5,-75.5,1974,6,-8404621.554892154,3961860.2174457456,1 days 06:00:00.000000000,1712.6910808868115,71933.02539724608
AL031974,18.0,-21.0,1974,6,Summer,Atlantic,-2337709.3066587453,2037548.5447506013,18.0,-36.0,1974,7,-4007501.668557849,2037548.5447506013,2 days 00:00:00.000000000,1647.2730865676751,69185.46963584235
AL041974,28.5,-87.0,1974,7,Summer,Mexico_Caribean,-9684795.699014802,3312159.8598184385,29.5,-94.5,1974,7,-10519691.879964354,3439440.06073126,4 days 06:00:00.000000000,814.995563874864,34229.81368274429
AL051974,29.0,-75.0,1974,7,Summer,Atlantic,-8348961.809495519,3375646.03491931,48.8,-47.0,1974,7,-5232016.067283859,6240993.463458902,4 days 12:00:00.000000000,3681.0218896534507,154602.91936544492
AL061974,38.0,-70.0,1974,8,Summer,Atlantic,-7792364.355529151,4579425.812870097,43.5,-60.0,1974,8,-6679169.447596415,5388389.272819325,4 days 12:00:00.000000000,1208.801102197915,50769.646292312435
AL071974,10.5,-43.0,1974,8,Summer,Atlantic,-4786738.104110764,1175452.6085934306,10.5,-70.0,1974,8,-7792364.355529151,1175452.6085934306,3 days 00:00:00.000000000,2989.4314913054322,125556.12263482815
AL081974,24.0,-85.5,1974,8,Summer,Mexico_Caribean,-9517816.46282489,2753408.109364979,29.5,-95.5,1974,8,-10631011.370757626,3439440.06073126,2 days 00:00:00.000000000,1243.068975655733,52208.89697754079
AL091974,27.0,-69.0,1974,8,Summer,Atlantic,-7681044.864735877,3123471.749104577,43.0,-36.0,1974,9,-4007501.668557849,5311971.846945471,6 days 18:00:00.000000000,3934.347370114606,165242.58954481344
AL101974,16.8,-55.8,1974,8,Summer,Atlantic,-6211627.586264665,1897556.2324093361,31.3,-96.7,1974,9,-10764594.759709556,3671771.4487971356,12 days 00:00:00.000000000,4741.822927659539,199156.56296170066
AL111974,10.0,-19.0,1974,9,Autumn,Atlantic,-2115070.325072198,1118889.9748579597,21.0,-73.0,1974,9,-8126322.827908971,2391878.587944315,9 days 00:00:00.000000000,6082.364668545198,255459.3160788983
AL121974,27.2,-67.9,1974,9,Autumn,Atlantic,-7558593.424863277,3148481.4043987663,44.2,-60.3,1974,9,-6712565.294834397,5496444.989877837,2 days 18:00:00.000000000,2055.694996740148,86339.18986308621
AL131974,14.7,-50.5,1974,9,Autumn,Atlantic,-5621634.285060315,1654650.287315491,42.0,-48.0,1974,9,-5343335.558077132,5160979.444049783,9 days 06:00:00.000000000,3047.8402001343293,128009.28840564183
AL141974,15.3,-65.0,1974,9,Autumn,Mexico_Caribean,-7235766.901562783,1723798.4989824079,17.7,-104.3,1974,9,-11610622.889738435,2002463.7486873388,8 days 00:00:00.000000000,4331.552651351917,181925.21135678052
AL151974,28.0,-58.0,1974,9,Autumn,Atlantic,-6456530.466009867,3248973.7896509725,34.0,-63.5,1974,9,-7068787.665372873,4028802.0261344067,2 days 06:00:00.000000000,890.3845675988997,37396.15183915379
AL161974,18.0,-84.0,1974,9,Autumn,Mexico_Caribean,-9350837.226634981,2037548.5447506013,29.0,-83.0,1974,9,-9239517.735841706,3375646.03491931,4 days 00:00:00.000000000,1227.9974565827808,51575.8931764768
AL171974,10.7,-45.1,1974,9,Autumn,Atlantic,-5020509.034776638,1198103.0405602609,13.0,-67.0,1974,10,-7458405.88314933,1459732.2718804963,6 days 12:00:00.000000000,2435.6706928999674,102298.16910179863
AL181974,21.0,-75.2,1974,10,Autumn,Atlantic,-8371225.7076541735,2391878.587944315,37.0,-63.0,1974,10,-7013127.919976235,4439106.787250586,5 days 00:00:00.000000000,2214.3665181724114,93003.39376324127
AL191974,23.5,-59.5,1974,10,Autumn,Atlantic,-6623509.702199778,2692598.2193217874,34.0,-48.0,1974,11,-5343335.558077132,4028802.0261344067,3 days 00:00:00.000000000,1703.654721383033,71553.49829808738
AL201974,21.0,-69.0,1974,11,Autumn,Atlantic,-7681044.864735877,2391878.587944315,24.0,-70.0,1974,11,-7792364.355529151,2753408.109364979,2 days 00:00:00.000000000,350.96414918541365,14740.494265787373
AL011975,32.5,-52.0,1975,6,Summer,Atlantic,-5788613.521250227,3829123.8370284378,40.0,-57.0,1975,6,-6345210.9752165945,4865942.279503176,5 days 00:00:00.000000000,987.4896987861786,41474.5673490195
AL021975,27.5,-79.0,1975,6,Summer,Atlantic,-8794239.772668613,3186080.233365009,47.0,-48.0,1975,7,-5343335.558077132,5942074.072431108,7 days 12:00:00.000000000,3933.2053348751756,165194.62406475737
AL031975,30.0,-73.0,1975,7,Summer,Atlantic,-8126322.827908971,3503549.843504374,34.5,-68.5,1975,7,-7625385.119339241,4096139.0404472323,1 days 00:00:00.000000000,693.9550031544688,29146.11013248769
AL041975,26.0,-68.4,1975,7,Summer,Atlantic,-7614253.170259913,2999080.9434706424,47.2,-62.4,1975,7,-6946336.225500272,5974780.482145987,4 days 18:00:00.000000000,2442.055625301284,102566.33626265393
AL051975,21.0,-92.5,1975,7,Summer,Mexico_Caribean,-10297052.898377806,2391878.587944315,21.7,-98.5,1975,7,-10964969.843137447,2475544.533776697,1 days 12:00:00.000000000,660.2223305518529,27729.33788317782
AL061975,29.0,-86.0,1975,7,Summer,Mexico_Caribean,-9573476.208221529,3375646.03491931,31.0,-91.0,1975,7,-10130073.662187897,3632749.143384427,2 days 00:00:00.000000000,581.2757868417373,24413.583047352964
AL071975,22.4,-69.8,1975,8,Summer,Atlantic,-7770100.457370495,2559618.2595014037,25.3,-99.0,1975,9,-11020629.588534085,2912638.0910063866,8 days 00:00:00.000000000,3192.071884130429,134067.01913347802
AL081975,33.3,-46.3,1975,8,Summer,Atlantic,-5154092.423728567,3935191.982105439,43.5,-40.7,1975,9,-4530703.275286235,5388389.272819325,7 days 00:00:00.000000000,1277.9769527481224,53675.03201542114
AL091975,13.5,-24.0,1975,9,Autumn,Atlantic,-2671667.779038566,1516914.445337236,15.5,-58.0,1975,9,-6456530.466009867,1746891.5570753578,5 days 18:00:00.000000000,3756.3296823656992,157765.84665935938
AL101975,11.5,-17.5,1975,9,Autumn,Atlantic,-1948091.0888822877,1288857.180495907,12.5,-28.0,1975,9,-3116945.7422116604,1402665.189967927,3 days 00:00:00.000000000,1166.4633676175404,48991.4614399367
AL111975,21.5,-95.0,1975,9,Autumn,Mexico_Caribean,-10575351.62536099,2451599.0873778537,22.0,-98.0,1975,9,-10909310.09774081,2511525.234845713,1 days 06:00:00.000000000,332.27827072006244,13955.687370242622
AL121975,32.0,-62.0,1975,9,Autumn,Atlantic,-6901808.429182962,3763310.6271446524,40.0,-54.0,1975,9,-6011252.502836773,4865942.279503176,3 days 06:00:00.000000000,1228.1383938837923,51581.812543119275
AL131975,17.5,-54.1,1975,9,Autumn,Atlantic,-6022384.4519161,1979106.4997243867,37.5,-81.5,1975,9,-9072538.499651797,4509031.393076654,11 days 12:00:00.000000000,3715.644670035125,156057.07614147523
AL141975,17.5,-33.5,1975,9,Autumn,Atlantic,-3729202.941574665,1979106.4997243867,43.0,-34.0,1975,9,-3784862.6869713017,5311971.846945471,11 days 06:00:00.000000000,2835.988763268023,119111.52805725696
AL151975,10.3,-34.8,1975,9,Autumn,Atlantic,-3873918.2796059204,1152816.8257508886,55.0,-40.0,1975,10,-4452779.631730943,7361866.113051185,11 days 06:00:00.000000000,5003.2594924871355,210136.89868445968
AL161975,19.0,-84.0,1975,9,Autumn,Mexico_Caribean,-9350837.226634981,2154935.915085892,18.0,-88.5,1975,9,-9851774.935204713,2037548.5447506013,4 days 00:00:00.000000000,506.2378027374092,21261.987714971187
AL171975,28.0,-33.0,1975,10,Autumn,Atlantic,-3673543.1961780284,3248973.7896509725,34.0,-36.5,1975,10,-4063161.4139544857,4028802.0261344067,2 days 00:00:00.000000000,765.4485455768657,32148.83891422836
AL181975,21.0,-92.0,1975,10,Autumn,Mexico_Caribean,-10241393.15298117,2391878.587944315,30.0,-90.0,1975,10,-10018754.171394622,3503549.843504374,3 days 00:00:00.000000000,1024.0482613812537,43010.026978012655
AL191975,29.1,-79.3,1975,10,Autumn,Atlantic,-8827635.619906595,3388379.9613727783,36.9,-71.4,1975,10,-7948211.642639734,4425177.227865093,3 days 06:00:00.000000000,1209.490765174836,50798.612137343116
AL201975,13.0,-81.0,1975,10,Autumn,Mexico_Caribean,-9016878.75425516,1459732.2718804963,16.0,-88.5,1975,10,-9851774.935204713,1804722.766257292,2 days 06:00:00.000000000,892.1172923163342,37468.92627728604
