,ID,Status,Latitude,Longitude,Max_Speed,Min_Pressure,Low_Rad_NE,Low_Rad_SE,Low_Rad_SW,Low_Rad_NW,Med_Rad_NE,Med_Rad_SE,Med_Rad_SW,Med_Rad_NW,High_Rad_NE,High_Rad_SE,High_Rad_SW,High_Rad_NW,Time,x,y,Season,Zones
27,AL011970, TD,25.2,-84.0,25.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-24 12:00:00,-9350837.226634981,2900330.1825636644,Spring,Mexico_Caribbean
28,AL011970, TD,26.8,-83.9,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-24 18:00:00,-9339705.277555654,3098506.536103414,Spring,Mexico_Caribbean
29,AL011970, TD,28.3,-83.6,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-25 00:00:00,-9306309.43031767,3286849.8476637644,Spring,Mexico_Caribbean
30,AL011970, TD,29.5,-82.9,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-25 06:00:00,-9228385.786762381,3439440.06073126,Spring,Mexico_Caribbean
31,AL011970, TD,30.6,-82.2,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-25 12:00:00,-9150462.143207088,3580909.760461875,Spring,Mexico_Caribbean
32,AL011970, TD,31.8,-81.6,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-25 18:00:00,-9083670.448731124,3737086.056237236,Spring,Atlantic
33,AL011970, TD,32.6,-81.2,25.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-26 00:00:00,-9039142.652413815,3842330.217266117,Spring,Atlantic
34,AL011970, TD,33.3,-80.7,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-26 06:00:00,-8983482.907017179,3935191.982105439,Spring,Atlantic
35,AL011970, TD,34.8,-79.9,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-26 12:00:00,-8894427.31438256,4136735.049397425,Spring,Atlantic
36,AL011970, TD,35.7,-78.7,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-26 18:00:00,-8760843.925430631,4259419.9655479165,Spring,Atlantic
37,AL011970, EX,36.5,-77.0,25.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-27 00:00:00,-8571600.791082066,4369640.510649828,Spring,Atlantic
38,AL011970, EX,37.0,-75.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-27 06:00:00,-8404621.554892154,4439106.787250586,Spring,Atlantic
39,AL021970, TD,18.5,-83.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-19 00:00:00,-9295177.481238345,2096156.5384662852,Summer,Mexico_Caribbean
