,ID,Latitude_start,Longitude_start,Season_start,Zones_start,x_start,y_start,Year_start,Month_start,Latitude_end,Longitude_end,Season_end,Zones_end,x_end,y_end,Year_end,Month_end,Duration,Distance,Distance_draw
110,AL141975,17.5,-33.5,Autumn,Atlantic,-3729202.941574665,1979106.499724387,1975,9,43.0,-34.0,Autumn,Atlantic,-3784862.6869713017,5311971.846945471,1975,9,11.25 days,8147.2255980482505,342183.47511802654
111,AL151975,10.3,-34.8,Autumn,Atlantic,-3873918.27960592,1152816.8257508886,1975,9,55.0,-40.0,Autumn,Atlantic,-4452779.631730943,7361866.113051185,1975,10,11.25 days,9408.502266179094,395157.09517952194
112,AL161975,19.0,-84.0,Autumn,Mexico_Caribbean,-9350837.22663498,2154935.9150858917,1975,9,18.0,-88.5,Autumn,Mexico_Caribbean,-9851774.935204713,2037548.5447506013,1975,9,4.0 days,520.3777949430823,21855.867387609458
113,AL171975,28.0,-33.0,Autumn,Atlantic,-3673543.196178029,3248973.7896509725,1975,10,34.0,-36.5,Autumn,Atlantic,-4063161.4139544857,4028802.026134408,1975,10,2.0 days,984.7237431891232,41358.39721394317
114,AL181975,21.0,-92.0,Autumn,Mexico_Caribbean,-10241393.15298117,2391878.587944315,1975,10,30.0,-90.0,Autumn,Mexico_Caribbean,-10018754.171394622,3503549.843504374,1975,10,3.0 days,1225.1556330765677,51456.536589215844
115,AL191975,29.1,-79.3,Autumn,Atlantic,-8827635.619906595,3388379.9613727783,1975,10,36.9,-71.4,Autumn,Atlantic,-7948211.642639734,4425177.227865093,1975,10,3.25 days,1467.2017524477994,61622.47360280758
116,AL201975,13.0,-81.0,Autumn,Mexico_Caribbean,-9016878.75425516,1459732.2718804963,1975,10,16.0,-88.5,Autumn,Mexico_Caribbean,-9851774.935204713,1804722.766257292,1975,10,2.25 days,972.7163743664896,40854.087723392564
117,AL211975,16.5,-85.0,Autumn,Mexico_Caribbean,-9462156.717428254,1862698.8721506863,1975,11,20.3,-90.5,Autumn,Mexico_Caribbean,-10074413.916791258,2308604.115398844,1975,11,4.25 days,1653.327096802408,69439.73806570114
118,AL221975,25.0,-52.0,Autumn,Atlantic,-5788613.5212502275,2875744.6243522423,1975,11,30.0,-49.0,Winter,Atlantic,-5454655.048870405,3503549.843504374,1975,12,2.0 days,756.6968550584784,31781.267912456093
119,AL231975,41.6,-42.9,Winter,Atlantic,-4775606.155031436,5101248.438166103,1975,12,32.5,-34.5,Winter,Atlantic,-3840522.432367938,3829123.837028437,1975,12,4.0 days,2877.170354911726,120841.15490629249
120,AL011976,24.0,-89.0,Spring,Mexico_Caribbean,-9907434.68060135,2753408.109364979,1976,5,36.0,-67.0,Spring,Atlantic,-7458405.88314933,4300621.372044271,1976,5,4.25 days,3234.4869641852597,135848.45249578092
121,AL021976,26.8,-79.0,Summer,Atlantic,-8794239.772668613,3098506.536103414,1976,6,39.0,-69.5,Summer,Atlantic,-7736704.610132514,4721671.572580107,1976,6,2.25 days,1759.5531158314052,73901.23086491902
122,AL031976,26.5,-81.0,Summer,Mexico_Caribbean,-9016878.75425516,3061141.038886033,1976,6,35.2,-69.2,Summer,Atlantic,-7703308.762894533,4191093.6702733617,1976,6,1.25 days,1592.7059068124308,66893.64808612209
123,AL041976,31.0,-72.0,Summer,Atlantic,-8015003.337115698,3632749.143384427,1976,7,34.0,-71.0,Summer,Atlantic,-7903683.846322424,4028802.026134408,1976,7,2.0 days,425.78576427359513,17883.002099490997
124,AL051976,10.5,-24.0,Summer,Atlantic,-2671667.779038566,1175452.6085934306,1976,7,10.5,-32.0,Summer,Atlantic,-3562223.7053847546,1175452.6085934306,1976,7,1.25 days,899.2387025373716,37768.02550656961
125,AL061976,28.0,-52.3,Summer,Atlantic,-5822009.368488207,3248973.7896509725,1976,7,38.2,-24.6,Summer,Atlantic,-2738459.4735145303,4607717.759141998,1976,8,9.0 days,5538.901805242113,232633.87582016876
126,AL071976,26.0,-72.8,Summer,Atlantic,-8104058.929750318,2999080.9434706424,1976,8,42.6,-72.4,Summer,Atlantic,-8059531.133433008,5251284.604977384,1976,8,4.25 days,2183.3943119468636,91702.56110176827
127,AL081976,26.0,-84.0,Summer,Mexico_Caribbean,-9350837.22663498,2999080.9434706424,1976,8,33.5,-80.0,Summer,Atlantic,-8905559.263461886,3961860.217445746,1976,8,3.5 days,1354.0445423772235,56869.87077984339
128,AL091976,31.7,-68.2,Summer,Atlantic,-7591989.272101259,3723995.067295088,1976,8,49.9,-42.8,Summer,Atlantic,-4764474.205952109,6428975.579877882,1976,8,6.0 days,3597.460407695014,151093.33712319058
129,AL101976,14.0,-48.0,Summer,Atlantic,-5343335.558077132,1574216.548161465,1976,8,41.0,-24.0,Autumn,Atlantic,-2671667.779038566,5012341.663847518,1976,9,15.25 days,8538.032544400834,358597.366864835
130,AL111976,12.5,-37.5,Summer,Atlantic,-4174480.90474776,1402665.189967927,1976,8,41.6,-25.7,Autumn,Atlantic,-2860910.913387132,5101248.438166103,1976,9,11.0 days,7050.853683636958,296135.8547127522
131,AL121976,32.0,-77.0,Autumn,Atlantic,-8571600.791082066,3763310.6271446524,1976,9,34.5,-71.5,Autumn,Atlantic,-7959343.591719061,4096139.040447232,1976,9,2.0 days,660.4891756776548,27740.545378461502
132,AL131976,26.5,-85.0,Autumn,Mexico_Caribbean,-9462156.717428254,3061141.038886033,1976,9,28.0,-89.0,Autumn,Mexico_Caribbean,-9907434.68060135,3248973.7896509725,1976,9,2.0 days,502.3140461205879,21097.18993706469
133,AL141976,28.0,-81.5,Autumn,Mexico_Caribbean,-9072538.499651797,3248973.7896509725,1976,9,37.0,-78.0,Autumn,Atlantic,-8682920.281875338,4439106.787250586,1976,9,3.5 days,1102.3478535536053,46298.60984925142
134,AL151976,13.5,-28.0,Autumn,Atlantic,-3116945.7422116613,1516914.4453372369,1976,9,27.0,-44.0,Autumn,Atlantic,-4898057.594904037,3123471.749104576,1976,9,7.0 days,2967.422306942634,124631.73689159063
135,AL161976,25.5,-91.0,Autumn,Mexico_Caribbean,-10130073.662187897,2937284.4374238458,1976,9,31.0,-88.5,Autumn,Mexico_Caribbean,-9851774.935204713,3632749.143384427,1976,9,2.25 days,674.3337980439537,28322.019517846056
136,AL171976,23.0,-58.0,Autumn,Atlantic,-6456530.466009867,2632018.637586423,1976,9,39.0,-35.0,Autumn,Atlantic,-3896182.1777645764,4721671.572580107,1976,10,8.5 days,3973.6015116422104,166891.26348897285
137,AL181976,12.0,-35.0,Autumn,Atlantic,-3896182.1777645764,1345708.408409107,1976,9,13.0,-36.0,Autumn,Atlantic,-4007501.668557849,1459732.2718804963,1976,9,2.0 days,1009.3418159639425,42392.35627048559
138,AL191976,15.0,-39.0,Autumn,Atlantic,-4341460.140937669,1689200.1396078938,1976,10,20.0,-71.0,Autumn,Atlantic,-7903683.846322424,2273030.926987689,1976,10,9.0 days,4268.284655594227,179267.95553495752
139,AL201976,20.0,-46.0,Autumn,Atlantic,-5120696.576490585,2273030.926987689,1976,10,26.0,-47.0,Autumn,Atlantic,-5232016.067283859,2999080.9434706424,1976,10,3.0 days,923.6164848573829,38791.892364010084
140,AL211976,19.1,-55.8,Autumn,Atlantic,-6211627.586264665,2166712.8397487444,1976,10,46.5,-30.0,Autumn,Atlantic,-3339584.7237982075,5860839.829947802,1976,10,6.25 days,4751.71456678918,199572.01180514556
141,AL011977,25.0,-94.5,Summer,Mexico_Caribbean,-10519691.879964354,2875744.6243522423,1977,6,30.0,-96.4,Summer,Mexico_Caribbean,-10731198.912471574,3503549.843504374,1977,6,1.25 days,592.960441405369,24904.3385390255
142,AL021977,25.8,-86.8,Summer,Mexico_Caribbean,-9662531.800856147,2974331.0993660805,1977,7,32.0,-88.0,Summer,Mexico_Caribbean,-9796115.189808074,3763310.6271446524,1977,7,1.25 days,702.0237211094857,29484.996286598398
143,AL031977,25.5,-84.0,Summer,Mexico_Caribbean,-9350837.22663498,2937284.4374238458,1977,7,25.0,-87.0,Summer,Mexico_Caribbean,-9684795.699014803,2875744.6243522423,1977,7,1.0 days,330.9282782535364,13898.987686648528
144,AL041977,11.5,-17.5,Summer,Atlantic,-1948091.0888822882,1288857.180495907,1977,8,13.5,-38.0,Summer,Atlantic,-4230140.650144396,1516914.4453372369,1977,8,3.0 days,2290.36317328504,96195.25327797167
145,AL051977,26.9,-88.4,Summer,Mexico_Caribbean,-9840642.986125384,3110983.6161992387,1977,8,22.0,-103.0,Autumn,Mexico_Caribbean,-11465907.551707178,2511525.234845713,1977,9,4.75 days,1702.504571918527,71505.19202057814
146,AL061977,26.8,-86.3,Autumn,Mexico_Caribbean,-9606872.05545951,3098506.536103414,1977,9,34.8,-80.2,Autumn,Atlantic,-8927823.16162054,4136735.049397425,1977,9,5.75 days,2414.353264378524,101402.837103898
147,AL071977,32.8,-80.0,Autumn,Atlantic,-8905559.263461886,3868787.298098511,1977,9,40.5,-57.5,Autumn,Atlantic,-6400870.720613231,4938869.175786295,1977,9,6.5 days,3229.541752550144,135640.75360710605
148,AL081977,10.0,-35.5,Autumn,Atlantic,-3951841.923161212,1118889.9748579594,1977,9,10.0,-45.0,Autumn,Atlantic,-5009377.085697311,1118889.9748579594,1977,9,2.0 days,1052.331920648637,44197.94066724275
149,AL091977,20.0,-95.0,Autumn,Mexico_Caribbean,-10575351.62536099,2273030.926987689,1977,9,22.0,-98.0,Autumn,Mexico_Caribbean,-10909310.09774081,2511525.234845713,1977,9,1.0 days,396.4712810798642,16651.793805354297
150,AL101977,28.5,-71.5,Autumn,Atlantic,-7959343.591719061,3312159.8598184395,1977,9,49.5,-48.5,Autumn,Atlantic,-5398995.303473769,6360130.740921419,1977,9,3.5 days,3477.7506105936777,146065.52564493447
151,AL111977,10.0,-46.0,Autumn,Atlantic,-5120696.576490585,1118889.9748579594,1977,10,12.0,-56.0,Autumn,Atlantic,-6233891.484423323,1345708.408409107,1977,10,2.0 days,1129.9710100425857,47458.7824217886
152,AL121977,27.5,-43.0,Autumn,Atlantic,-4786738.104110763,3186080.2333650086,1977,10,31.0,-49.0,Autumn,Atlantic,-5454655.048870405,3632749.143384427,1977,10,2.0 days,810.6189078686573,34045.9941304836
153,AL131977,26.9,-62.9,Autumn,Atlantic,-7001995.970896907,3110983.6161992387,1977,10,49.1,-58.3,Autumn,Atlantic,-6489926.313247847,6291846.367064343,1977,10,2.25 days,2655.7414503214013,111541.14091349885
154,AL141977,17.3,-83.2,Autumn,Mexico_Caribbean,-9261781.634000363,1955774.94370358,1977,10,17.6,-88.3,Autumn,Mexico_Caribbean,-9829511.037046056,1990781.8912618745,1977,10,2.25 days,565.4205657984736,23747.663763535893
155,AL151977,25.5,-95.5,Autumn,Mexico_Caribbean,-10631011.370757626,2937284.4374238458,1977,10,30.5,-88.6,Autumn,Mexico_Caribbean,-9862906.884284038,3567983.4559358223,1977,10,1.25 days,929.1563289464709,39024.565815751776
156,AL011978,22.0,-44.0,Winter,Atlantic,-4898057.594904037,2511525.234845713,1978,1,21.0,-64.0,Winter,Atlantic,-7124447.410769509,2391878.587944315,1978,1,4.5 days,2274.551871989952,95531.17862357799
157,AL021978,25.2,-86.5,Summer,Mexico_Caribbean,-9629135.953618163,2900330.1825636644,1978,6,26.6,-83.5,Summer,Mexico_Caribbean,-9295177.481238343,3073585.3046073965,1978,6,1.25 days,361.0404991849086,15163.70096576616
158,AL031978,15.5,-27.5,Summer,Atlantic,-3061285.996815024,1746891.5570753578,1978,7,14.5,-44.0,Summer,Atlantic,-4898057.594904037,1631643.4670073597,1978,7,2.0 days,1832.0174819080223,76944.73424013694
159,AL041978,25.7,-97.0,Summer,Mexico_Caribbean,-10797990.606947538,2961971.853323753,1978,7,29.3,-99.2,Summer,Mexico_Caribbean,-11042893.48669274,3413885.005984232,1978,8,1.25 days,467.3098538621835,19627.01386221171
160,AL051978,25.3,-90.4,Summer,Mexico_Caribbean,-10063281.967711933,2912638.091006386,1978,8,20.0,-97.0,Summer,Mexico_Caribbean,-10797990.606947538,2273030.926987689,1978,8,3.0 days,993.2289983278608,41715.61792977015
161,AL061978,13.0,-35.0,Summer,Atlantic,-3896182.1777645764,1459732.2718804963,1978,8,12.2,-68.8,Summer,Mexico_Caribbean,-7658780.966577223,1368478.1897511792,1978,8,4.5 days,3765.860238206883,158166.1300046891
162,AL071978,13.0,-52.5,Summer,Atlantic,-5844273.266646863,1459732.2718804963,1978,8,11.8,-84.0,Summer,Mexico_Caribbean,-9350837.22663498,1322955.5151757807,1978,8,4.25 days,3488.7067063543673,146525.68166688344
163,AL081978,26.5,-90.0,Summer,Mexico_Caribbean,-10018754.171394622,3061141.038886033,1978,8,29.4,-89.2,Summer,Mexico_Caribbean,-9929698.578760004,3426656.25037027,1978,8,1.25 days,337.5371413114551,14176.559935081115
164,AL091978,23.4,-88.4,Summer,Mexico_Caribbean,-9840642.986125384,2680464.0819783327,1978,8,34.2,-92.7,Summer,Mexico_Caribbean,-10319316.79653646,4055688.8590062363,1978,8,3.25 days,1641.1279663813725,68927.37458801764
165,AL101978,26.2,-59.7,Summer,Atlantic,-6645773.600358432,3023872.9604291576,1978,8,49.0,-45.0,Autumn,Atlantic,-5009377.085697311,6274861.394006577,1978,9,6.5 days,5162.086154764149,216807.61850009425
166,AL111978,27.8,-91.0,Summer,Mexico_Caribbean,-10130073.662187897,3223781.6854985543,1978,8,28.0,-86.0,Autumn,Mexico_Caribbean,-9573476.208221527,3248973.7896509725,1978,9,2.0 days,541.1696193655837,22729.124013354514
167,AL121978,14.0,-16.0,Autumn,Atlantic,-1781111.8526923773,1574216.548161465,1978,9,37.5,-39.0,Autumn,Atlantic,-4341460.140937669,4509031.393076654,1978,9,8.0 days,4964.247941190801,208498.41353001364
168,AL131978,12.0,-39.0,Autumn,Atlantic,-4341460.140937669,1345708.408409107,1978,9,51.5,-19.0,Autumn,Atlantic,-2115070.325072198,6710219.083220743,1978,9,12.25 days,8871.150970601038,372588.3407652436
169,AL141978,23.0,-94.0,Autumn,Mexico_Caribbean,-10464032.134567717,2632018.637586423,1978,9,24.0,-98.5,Autumn,Mexico_Caribbean,-10964969.843137447,2753408.109364979,1978,9,2.25 days,548.4405060883495,23034.50125571068
170,AL151978,29.8,-80.0,Autumn,Atlantic,-8905559.263461886,3477867.5267068264,1978,9,61.0,-23.0,Autumn,Atlantic,-2560348.2882452924,8625823.200203592,1978,9,9.5 days,7863.474734462371,330265.9388474196
171,AL161978,11.0,-62.5,Autumn,Mexico_Caribbean,-6957468.174579599,1232106.80189676,1978,9,15.7,-93.0,Autumn,Mexico_Caribbean,-10352712.643774442,1770006.9811914344,1978,9,6.25 days,3487.972345754207,146494.8385216767
172,AL171978,13.0,-16.0,Autumn,Atlantic,-1781111.8526923773,1459732.2718804963,1978,9,33.0,-57.0,Autumn,Atlantic,-6345210.975216595,3895303.963393895,1978,9,11.0 days,5796.319083400743,243445.4015028312
173,AL181978,20.0,-91.0,Autumn,Mexico_Caribbean,-10130073.662187897,2273030.926987689,1978,9,22.0,-98.0,Autumn,Mexico_Caribbean,-10909310.09774081,2511525.234845713,1978,9,2.0 days,799.3166355737426,33571.29869409719
174,AL191978,31.7,-31.5,Autumn,Atlantic,-3506563.9599881177,3723995.067295088,1978,10,43.0,-26.2,Autumn,Atlantic,-2916570.6587837683,5311971.846945471,1978,10,3.25 days,1436.2623399967774,60323.01827986465
175,AL201978,18.0,-55.6,Autumn,Atlantic,-6189363.6881060125,2037548.5447506013,1978,10,30.2,-69.9,Autumn,Atlantic,-7781232.406449824,3529283.971113809,1978,10,3.75 days,2476.6470284052807,104019.17519302179
176,AL211978,40.5,-31.0,Autumn,Atlantic,-3450904.2145914813,4938869.175786295,1978,10,41.0,-40.5,Autumn,Atlantic,-4508439.37712758,5012341.663847518,1978,10,4.25 days,1926.1925583447573,80900.08745047981
177,AL221978,8.0,-26.0,Autumn,Atlantic,-2894306.7606251133,893463.7510126453,1978,10,9.0,-38.0,Autumn,Atlantic,-4230140.650144396,1006021.0627551336,1978,10,3.0 days,1349.7859306491962,56691.00908726624
178,AL231978,23.5,-72.7,Autumn,Atlantic,-8092926.980670989,2692598.2193217874,1978,10,50.0,-27.0,Autumn,Atlantic,-3005626.251418386,6446275.841017158,1978,11,5.75 days,6165.335409473981,258944.08719790718
179,AL241978,30.0,-75.0,Autumn,Atlantic,-8348961.809495519,3503549.843504374,1978,11,37.0,-71.0,Autumn,Atlantic,-7903683.846322424,4439106.787250586,1978,11,2.0 days,935.2599996703475,39280.91998615459
180,AL011979,17.4,-81.1,Summer,Mexico_Caribbean,-9028010.703334486,1967437.53139506,1979,6,33.4,-80.2,Summer,Atlantic,-8927823.16162054,3948518.427099392,1979,6,5.25 days,1876.1060837883854,78796.45551911219
181,AL021979,10.0,-45.0,Summer,Atlantic,-5009377.085697311,1118889.9748579594,1979,6,14.0,-66.2,Summer,Mexico_Caribbean,-7369350.290514711,1574216.548161465,1979,6,4.5 days,2452.5339287694114,103006.42500831527
182,AL031979,20.4,-70.0,Summer,Atlantic,-7792364.355529151,2320477.1094807815,1979,7,40.2,-55.2,Summer,Atlantic,-6144835.8917887015,4895048.440561675,1979,7,5.0 days,3034.008523158627,127428.35797266234
183,AL041979,22.0,-96.0,Summer,Mexico_Caribbean,-10686671.116154265,2511525.234845713,1979,7,33.0,-75.0,Summer,Atlantic,-8348961.809495519,3895303.963393895,1979,7,7.0 days,3878.0373158522257,162877.56726579348
184,AL051979,30.0,-79.8,Summer,Atlantic,-8883295.365303231,3503549.843504374,1979,7,32.7,-58.2,Summer,Atlantic,-6478794.364168523,3855551.3465079404,1979,7,3.25 days,2396.2015390525676,100640.46464020784
185,AL061979,12.5,-46.3,Summer,Atlantic,-5154092.423728567,1402665.189967927,1979,7,39.0,-80.2,Summer,Atlantic,-8927823.16162054,4721671.572580107,1979,7,14.0 days,8452.609466706946,355009.5976016917
186,AL071979,17.0,-35.5,Summer,Atlantic,-3951841.923161212,1920825.0403774653,1979,7,26.5,-52.5,Summer,Atlantic,-5844273.266646863,3061141.038886033,1979,7,3.25 days,2290.477495161469,96200.0547967817
187,AL081979,17.0,-54.0,Summer,Atlantic,-6011252.502836772,1920825.0403774653,1979,7,48.5,-45.0,Summer,Atlantic,-5009377.085697311,6190443.809135449,1979,8,6.0 days,5955.684134471337,250138.73364779615
188,AL091979,11.7,-36.1,Summer,Atlantic,-4018633.617637177,1311585.3072259454,1979,8,52.5,-52.5,Autumn,Atlantic,-5844273.266646863,6891041.723891588,1979,9,13.5 days,9941.217594664337,417531.1389759021
189,AL101979,18.0,-94.5,Summer,Mexico_Caribbean,-10519691.879964354,2037548.5447506013,1979,8,23.8,-99.0,Summer,Mexico_Caribbean,-11020629.588534083,2729056.107633078,1979,8,3.0 days,1134.7044942173716,47657.588757129604
190,AL111979,11.0,-25.5,Summer,Atlantic,-2838647.0152284764,1232106.80189676,1979,8,48.0,-68.0,Autumn,Atlantic,-7569725.373942602,6106854.83488507,1979,9,16.75 days,10742.449866010138,451182.8943724258
191,AL121979,25.5,-89.1,Summer,Mexico_Caribbean,-9918566.629680676,2937284.4374238458,1979,8,29.6,-95.8,Autumn,Mexico_Caribbean,-10664407.217995608,3452236.500838168,1979,9,3.0 days,972.0639766249658,40826.687018248565
192,AL131979,19.9,-22.0,Autumn,Atlantic,-2449028.7974520186,2261188.30930251,1979,9,39.0,-36.0,Autumn,Atlantic,-4007501.668557849,4721671.572580107,1979,9,5.0 days,3418.4607630595538,143575.35204850126
193,AL141979,15.5,-21.0,Autumn,Atlantic,-2337709.3066587453,1746891.5570753578,1979,9,45.0,-32.0,Autumn,Atlantic,-3562223.7053847546,5621521.486192066,1979,9,10.75 days,5974.437197845655,250926.3623095175
194,AL151979,20.3,-86.8,Autumn,Mexico_Caribbean,-9662531.800856147,2308604.115398844,1979,9,26.4,-86.7,Autumn,Mexico_Caribbean,-9651399.85177682,3048707.5973286973,1979,9,9.5 days,2613.3778425938003,109761.86938893961
195,AL161979,15.6,-48.5,Autumn,Atlantic,-5398995.303473769,1758446.4530675344,1979,9,41.8,-47.0,Autumn,Atlantic,-5232016.067283859,5131067.335639957,1979,9,5.0 days,3137.9269726183124,131792.93284996913
196,AL171979,16.9,-87.3,Autumn,Mexico_Caribbean,-9718191.546252783,1909187.551694071,1979,10,18.6,-88.2,Autumn,Mexico_Caribbean,-9818379.08796673,2107898.527978212,1979,10,8.0 days,1714.8707897646134,72024.57317011376
197,AL181979,29.0,-66.0,Autumn,Atlantic,-7347086.392356058,3375646.03491931,1979,10,51.0,-55.0,Autumn,Atlantic,-6122571.993630048,6621293.722740162,1979,10,2.0 days,2735.861378350543,114906.1778907228
198,AL191979,12.0,-77.0,Autumn,Mexico_Caribbean,-8571600.791082066,1345708.408409107,1979,10,14.4,-83.8,Autumn,Mexico_Caribbean,-9328573.328476328,1620147.8616991916,1979,10,5.0 days,1367.2752748957084,57425.561545619756
199,AL201979,24.5,-56.1,Autumn,Atlantic,-6245023.433502647,2814454.732309769,1979,11,29.2,-45.5,Autumn,Atlantic,-5065036.831093948,3401126.2640664913,1979,11,2.5 days,1310.0503468587751,55022.11456806856
200,AL011980,30.5,-76.5,Summer,Atlantic,-8515941.04568543,3567983.4559358223,1980,7,30.8,-90.0,Summer,Mexico_Caribbean,-10018754.171394622,3606802.484325358,1980,7,4.0 days,1495.5597418196467,62813.50915642516
201,AL021980,25.0,-90.0,Summer,Mexico_Caribbean,-10018754.171394622,2875744.6243522423,1980,7,30.5,-95.0,Summer,Mexico_Caribbean,-10575351.62536099,3567983.4559358223,1980,7,4.0 days,971.3805301693301,40797.98226711186
202,AL031980,23.2,-73.5,Summer,Atlantic,-8181982.573305608,2656223.239935541,1980,7,37.6,-64.0,Summer,Atlantic,-7124447.410769509,4523072.31910875,1980,7,4.0 days,2745.482360700349,115310.25914941466
203,AL041980,11.0,-30.0,Summer,Atlantic,-3339584.7237982075,1232106.80189676,1980,7,28.9,-102.9,Summer,Mexico_Caribbean,-11454775.602627853,3362924.4219808686,1980,8,11.25 days,8402.111410259147,352888.6792308842
204,AL051980,15.0,-21.0,Summer,Atlantic,-2337709.3066587453,1689200.1396078938,1980,8,36.7,-26.2,Summer,Atlantic,-2916570.6587837683,4397372.744462241,1980,8,4.0 days,3963.8414250309997,166481.33985130198
205,AL061980,12.7,-35.5,Summer,Atlantic,-3951841.923161212,1425478.519403155,1980,8,51.0,-36.0,Summer,Atlantic,-4007501.668557849,6621293.722740162,1980,8,5.75 days,4460.271761183927,187331.41396972493
206,AL071980,36.0,-73.0,Summer,Atlantic,-8126322.827908971,4300621.372044271,1980,8,38.5,-42.2,Summer,Atlantic,-4697682.511476145,4650301.836738959,1980,8,5.25 days,4215.354176355911,177044.87540694824
207,AL081980,15.9,-31.6,Summer,Atlantic,-3517695.909067445,1793145.096901021,1980,8,22.5,-60.0,Summer,Atlantic,-6679169.447596415,2571663.047173645,1980,8,4.0 days,3349.2743924418887,140669.52448255933
208,AL091980,15.6,-38.0,Autumn,Atlantic,-4230140.650144396,1758446.4530675344,1980,9,48.0,-46.9,Autumn,Atlantic,-5220884.11820453,6106854.83488507,1980,9,7.75 days,7267.27893020703,305225.71506869525
209,AL101980,17.7,-24.0,Autumn,Atlantic,-2671667.779038566,2002463.7486873388,1980,9,51.5,-23.5,Autumn,Atlantic,-2616008.0336419293,6710219.083220743,1980,9,6.5 days,6146.501255928244,258153.05274898626
210,AL111980,28.3,-90.6,Autumn,Mexico_Caribbean,-10085545.865870586,3286849.8476637644,1980,9,29.0,-100.0,Autumn,Mexico_Caribbean,-11131949.079327358,3375646.03491931,1980,9,2.75 days,1050.1556800275814,44106.53856115842
211,AL121980,12.5,-19.0,Autumn,Atlantic,-2115070.325072198,1402665.189967927,1980,9,54.0,-29.0,Autumn,Atlantic,-3228265.2330049337,7170156.293999948,1980,9,15.0 days,8287.782555570093,348086.8673339439
212,AL131980,14.6,-77.2,Autumn,Mexico_Caribbean,-8593864.68924072,1643144.2622949209,1980,9,17.0,-96.0,Autumn,Mexico_Caribbean,-10686671.116154265,1920825.0403774653,1980,9,5.5 days,2279.5153212504238,95739.6434925178
213,AL141980,33.6,-20.0,Autumn,Atlantic,-2226389.8158654715,3975217.429260809,1980,10,52.5,-24.5,Autumn,Atlantic,-2727327.5244352026,6891041.723891588,1980,10,11.0 days,6812.35197945032,286118.78313691344
214,AL151980,16.2,-85.2,Autumn,Mexico_Caribbean,-9484420.615586907,1827895.5331194468,1980,10,16.5,-87.8,Autumn,Mexico_Caribbean,-9773851.29164942,1862698.8721506863,1980,10,2.0 days,291.6130926757883,12247.74989238311
215,AL161980,13.6,-82.6,Autumn,Mexico_Caribbean,-9194989.939524395,1528365.1158970068,1980,11,25.2,-93.1,Autumn,Mexico_Caribbean,-10363844.59285377,2900330.1825636644,1980,11,8.5 days,2643.868163777797,111042.46287866746
216,AL171980,13.0,-80.0,Autumn,Mexico_Caribbean,-8905559.263461886,1459732.2718804963,1980,11,30.0,-81.0,Autumn,Atlantic,-9016878.75425516,3503549.843504374,1980,11,6.0 days,2195.324111495496,92203.61268281082
217,AL181980,36.0,-46.0,Autumn,Atlantic,-5120696.576490585,4300621.372044271,1980,11,45.0,-32.0,Autumn,Atlantic,-3562223.7053847546,5621521.486192066,1980,11,3.0 days,2084.5892069399024,87552.7466914759
218,AL011981,21.0,-61.5,Spring,Atlantic,-6846148.683786325,2391878.587944315,1981,4,18.0,-64.0,Spring,Atlantic,-7124447.410769509,2037548.5447506013,1981,4,1.0 days,438.60327298351285,18421.33746530754
219,AL021981,11.0,-79.0,Spring,Mexico_Caribbean,-8794239.772668613,1232106.80189676,1981,4,12.0,-80.2,Spring,Mexico_Caribbean,-8927823.16162054,1345708.408409107,1981,4,2.25 days,862.4029814936109,36220.92522273166
220,AL031981,18.4,-83.6,Spring,Mexico_Caribbean,-9306309.43031767,2084421.404033635,1981,5,24.0,-71.0,Spring,Atlantic,-7903683.846322424,2753408.109364979,1981,5,2.5 days,1556.7248363393662,65382.44312625338
221,AL041981,19.4,-94.3,Summer,Mexico_Caribbean,-10497427.981805699,2202086.5110550304,1981,6,30.3,-95.3,Summer,Mexico_Caribbean,-10608747.472598972,3542170.6276430194,1981,6,2.5 days,1298.3469854076577,54530.57338712162
222,AL051981,19.5,-91.6,Summer,Mexico_Caribbean,-10196865.35666386,2213892.1828597244,1981,6,21.8,-98.2,Summer,Mexico_Caribbean,-10931573.995899467,2487529.715138796,1981,6,1.5 days,766.7256592035176,32202.47768654774
223,AL061981,36.0,-65.0,Summer,Atlantic,-7235766.901562783,4300621.372044271,1981,6,38.5,-78.5,Summer,Atlantic,-8738580.027271977,4650301.836738959,1981,7,2.0 days,1490.691222296391,62609.031336448425
224,AL071981,24.0,-79.0,Summer,Atlantic,-8794239.772668613,2753408.109364979,1981,7,34.0,-80.0,Summer,Atlantic,-8905559.263461886,4028802.026134408,1981,7,1.75 days,1182.2645629888038,49655.11164552976
225,AL081981,23.3,-91.8,Summer,Mexico_Caribbean,-10219129.254822517,2668339.105750191,1981,7,25.4,-99.3,Summer,Mexico_Caribbean,-11054025.435772067,2924956.157837271,1981,7,1.5 days,850.8664361192252,35736.39031700746
226,AL091981,36.1,-67.8,Summer,Atlantic,-7547461.475783949,4314389.9563344335,1981,8,44.1,-50.4,Summer,Atlantic,-5610502.335980988,5480930.477499097,1981,8,2.75 days,2061.015887919689,86562.66729262692
227,AL101981,10.5,-25.7,Summer,Atlantic,-2860910.913387132,1175452.6085934306,1981,8,37.8,-59.7,Summer,Atlantic,-6645773.600358432,4551210.919691888,1981,8,14.75 days,9910.719105923328,416250.2024487798
