,ID,Latitude_start,Longitude_start,Season_start,Zones_start,x_start,y_start,Year_start,Month_start,Latitude_end,Longitude_end,Season_end,Zones_end,x_end,y_end,Year_end,Month_end,Duration,Distance,Distance_draw
26,AL081971,13.0,-52.5,Summer,Atlantic,-5844273.266646863,1459732.2718804963,1971,8,18.0,-88.5,Summer,Mexico_Caribbean,-9851774.935204713,2037548.5447506013,1971,8,7.0 days,4090.4775408390046,171800.0567152382
27,AL091971,11.5,-47.0,Summer,Atlantic,-5232016.067283859,1288857.180495907,1971,8,48.0,-68.0,Summer,Atlantic,-7569725.373942602,6106854.83488507,1971,8,8.75 days,6429.446737235114,270036.7629638748
28,AL101971,24.0,-73.0,Summer,Atlantic,-8126322.827908971,2753408.109364979,1971,8,30.0,-91.0,Autumn,Mexico_Caribbean,-10130073.662187897,3503549.843504374,1971,9,4.0 days,2126.5535950423346,89315.25099177806
29,AL111971,27.5,-87.5,Autumn,Mexico_Caribbean,-9740455.444411438,3186080.2333650086,1971,9,26.9,-100.3,Autumn,Mexico_Caribbean,-11165344.92656534,3110983.6161992387,1971,9,9.5 days,2011.5949000564788,84486.9858023721
30,AL121971,13.5,-17.5,Autumn,Atlantic,-1948091.0888822882,1516914.4453372369,1971,9,17.0,-42.5,Autumn,Atlantic,-4731078.358714127,1920825.0403774653,1971,9,5.25 days,2840.176204871814,119287.4006046162
31,AL131971,11.4,-58.0,Autumn,Atlantic,-6456530.466009867,1277499.1866471171,1971,9,34.0,-84.7,Autumn,Mexico_Caribbean,-9428760.870190272,4028802.026134408,1971,9,12.5 days,6617.954438707268,277954.0864257053
32,AL141971,25.5,-71.5,Autumn,Atlantic,-7959343.591719061,2937284.4374238458,1971,9,35.7,-69.9,Autumn,Atlantic,-7781232.406449824,4259419.9655479165,1971,10,29.25 days,8143.621434887482,342032.10026527423
33,AL151971,28.5,-73.5,Autumn,Atlantic,-8181982.573305608,3312159.8598184395,1971,9,32.5,-81.0,Autumn,Atlantic,-9016878.75425516,3829123.837028437,1971,9,3.0 days,1203.7097093347456,50555.80779205932
34,AL161971,16.0,-16.0,Autumn,Atlantic,-1781111.8526923773,1804722.766257292,1971,9,18.5,-43.0,Autumn,Atlantic,-4786738.104110763,2096156.5384662848,1971,9,4.0 days,2998.9110007804757,125954.26203277998
35,AL171971,27.1,-72.0,Autumn,Atlantic,-8015003.337115698,3135970.9925276837,1971,9,45.5,-69.0,Autumn,Atlantic,-7681044.864735877,5700582.732404122,1971,9,4.0 days,2281.504411198005,95823.18527031621
36,AL181971,11.0,-48.5,Autumn,Atlantic,-5398995.303473769,1232106.80189676,1971,9,12.5,-87.9,Autumn,Mexico_Caribbean,-9784983.240728747,1402665.189967927,1971,9,9.0 days,4432.179894398429,186151.555564734
37,AL191971,11.5,-38.8,Autumn,Atlantic,-4319196.242779015,1288857.180495907,1971,9,19.4,-60.0,Autumn,Atlantic,-6679169.447596415,2202086.5110550304,1971,9,3.5 days,2559.2035238711746,107486.54800258933
38,AL201971,17.5,-84.5,Autumn,Mexico_Caribbean,-9406496.972031618,1979106.499724387,1971,10,30.0,-85.0,Autumn,Mexico_Caribbean,-9462156.717428254,3503549.843504374,1971,10,8.0 days,2263.210750976174,95054.85154099931
39,AL211971,25.0,-58.5,Autumn,Atlantic,-6512190.211406505,2875744.6243522423,1971,10,40.5,-28.9,Autumn,Atlantic,-3217133.2839256064,4938869.175786295,1971,10,3.75 days,3910.4674642505115,164239.6334985215
40,AL221971,12.0,-78.5,Autumn,Mexico_Caribbean,-8738580.027271977,1345708.408409107,1971,11,15.3,-90.0,Autumn,Mexico_Caribbean,-10018754.171394622,1723798.498982408,1971,11,9.5 days,2443.7394192019206,102637.05560648066
41,AL011972,31.2,-78.2,Spring,Atlantic,-8705184.180033995,3658750.280282992,1972,5,27.8,-85.5,Spring,Mexico_Caribbean,-9517816.46282489,3223781.6854985543,1972,5,5.75 days,2267.819570012559,95248.42194052748
42,AL021972,20.0,-89.0,Summer,Mexico_Caribbean,-9907434.68060135,2273030.926987689,1972,6,41.7,-74.5,Summer,Atlantic,-8293302.064098882,5116146.294557262,1972,6,8.5 days,3548.777646914972,149048.66117042882
43,AL031972,27.5,-69.0,Summer,Atlantic,-7681044.864735877,3186080.2333650086,1972,6,31.5,-65.5,Summer,Atlantic,-7291426.6469594175,3697855.330337703,1972,6,1.75 days,583.6816690069052,24514.630098290017
44,AL041972,27.0,-78.5,Summer,Atlantic,-8738580.027271977,3123471.749104576,1972,7,34.8,-77.5,Summer,Atlantic,-8627260.536478702,4136735.049397425,1972,7,2.25 days,887.375144669063,37269.756076100646
45,AL051972,37.0,-38.5,Summer,Atlantic,-4285800.395541033,4439106.787250586,1972,7,39.5,-35.5,Summer,Atlantic,-3951841.923161212,4793547.459104806,1972,7,4.25 days,1517.047010967681,63715.9744606426
46,AL061972,29.0,-57.0,Summer,Atlantic,-6345210.975216595,3375646.03491931,1972,7,24.0,-69.0,Summer,Atlantic,-7681044.864735877,2753408.109364979,1972,8,3.0 days,1500.6396862059116,63026.86682064829
47,AL071972,15.0,-15.0,Summer,Atlantic,-1669792.3618991037,1689200.1396078938,1972,8,14.0,-35.0,Summer,Atlantic,-3896182.1777645764,1574216.548161465,1972,8,2.25 days,2213.2342746256563,92955.83953427756
48,AL081972,32.0,-77.0,Summer,Atlantic,-8571600.791082066,3763310.6271446524,1972,8,33.0,-73.0,Summer,Atlantic,-8126322.827908971,3895303.963393895,1972,8,3.0 days,446.57166643038136,18756.009990076018
49,AL091972,14.0,-17.0,Summer,Atlantic,-1892431.3434856508,1574216.548161465,1972,8,15.0,-27.5,Summer,Atlantic,-3061285.996815024,1689200.1396078938,1972,8,2.0 days,1168.3487688066273,49070.64828987834
50,AL101972,36.5,-64.0,Summer,Atlantic,-7124447.410769509,4369640.510649828,1972,8,46.2,-37.9,Autumn,Atlantic,-4219008.701065068,5812457.4913419625,1972,9,10.25 days,4655.8253490781035,195544.66466128035
51,AL111972,29.0,-78.5,Summer,Atlantic,-8738580.027271977,3375646.03491931,1972,8,47.0,-63.0,Autumn,Atlantic,-7013127.919976235,5942074.072431107,1972,9,7.0 days,3076.553140021884,129215.23188091912
52,AL121972,30.5,-51.5,Autumn,Atlantic,-5732953.775853589,3567983.4559358223,1972,9,34.0,-43.0,Autumn,Atlantic,-4786738.104110763,4028802.026134408,1972,9,2.0 days,988.5022701876877,41517.09534788288
53,AL131972,23.8,-79.4,Autumn,Atlantic,-8838767.568985922,2729056.107633078,1972,9,32.8,-79.5,Autumn,Atlantic,-8849899.51806525,3868787.298098511,1972,9,9.5 days,4260.704915778107,178949.60646268047
54,AL141972,37.5,-59.5,Autumn,Atlantic,-6623509.702199778,4509031.393076654,1972,9,54.0,-36.0,Autumn,Atlantic,-4007501.668557849,7170156.293999948,1972,9,2.5 days,3364.5970281179884,141313.07518095552
55,AL151972,13.0,-33.0,Autumn,Atlantic,-3673543.196178029,1459732.2718804963,1972,9,16.0,-46.5,Autumn,Atlantic,-5176356.321887221,1804722.766257292,1972,9,4.0 days,1625.581626135625,68274.42829769624
56,AL161972,29.5,-53.5,Autumn,Atlantic,-5955592.757440138,3439440.06073126,1972,10,39.5,-51.0,Autumn,Atlantic,-5677294.030456953,4793547.459104806,1972,10,2.0 days,1198.8299126256081,50350.85633027554
57,AL171972,11.5,-18.0,Autumn,Atlantic,-2003750.8342789244,1288857.180495907,1972,10,34.0,-51.0,Autumn,Atlantic,-5677294.030456953,4028802.026134408,1972,10,10.0 days,5663.376192132558,237861.80006956743
58,AL181972,12.0,-29.0,Autumn,Atlantic,-3228265.2330049337,1345708.408409107,1972,10,14.0,-37.5,Autumn,Atlantic,-4174480.90474776,1574216.548161465,1972,10,4.0 days,1304.9289994987612,54807.01797894797
59,AL191972,35.0,-47.5,Autumn,Atlantic,-5287675.812680495,4163881.1440642895,1972,11,32.5,-42.5,Autumn,Atlantic,-4731078.358714127,3829123.837028437,1972,11,6.0 days,1754.2731900557003,73679.47398233942
60,AL011973,24.0,-65.0,Spring,Atlantic,-7235766.901562783,2753408.109364979,1973,4,26.5,-56.5,Spring,Atlantic,-6289551.229819957,3061141.038886033,1973,4,3.0 days,1272.8079380971603,53457.933400080736
61,AL021973,25.0,-62.5,Spring,Atlantic,-6957468.174579599,2875744.6243522423,1973,5,30.0,-47.0,Spring,Atlantic,-5232016.067283859,3503549.843504374,1973,5,3.0 days,1796.4299534155184,75450.05804345178
62,AL031973,30.0,-79.5,Summer,Atlantic,-8849899.51806525,3503549.843504374,1973,6,33.0,-77.5,Summer,Atlantic,-8627260.536478702,3895303.963393895,1973,6,2.0 days,399.76068335384105,16789.948700861325
63,AL041973,26.0,-67.8,Summer,Atlantic,-7547461.475783949,2999080.9434706424,1973,7,52.0,-56.5,Summer,Atlantic,-6289551.229819957,6800125.454397308,1973,7,5.25 days,3186.597486630863,133837.09443849625
64,AL051973,10.5,-34.0,Summer,Atlantic,-3784862.6869713017,1175452.6085934306,1973,7,11.0,-45.5,Summer,Atlantic,-5065036.831093948,1232106.80189676,1973,7,2.0 days,1275.3958308548042,53566.624895901776
65,AL061973,32.6,-74.1,Summer,Atlantic,-8248774.2677815715,3842330.2172661168,1973,7,44.0,-68.0,Summer,Atlantic,-7569725.373942602,5465442.183322749,1973,8,2.5 days,1432.65147770295,60171.3620635239
66,AL071973,13.0,-20.0,Summer,Atlantic,-2226389.8158654715,1459732.2718804963,1973,8,12.0,-39.0,Summer,Atlantic,-4341460.140937669,1345708.408409107,1973,8,2.0 days,2126.121228934542,89297.09161525077
67,AL081973,20.5,-83.7,Summer,Mexico_Caribbean,-9317441.379397,2332357.8126193318,1973,8,17.2,-91.5,Summer,Mexico_Caribbean,-10185733.407584533,1944118.6941882698,1973,8,3.75 days,1276.5860832948802,53616.61549838497
68,AL091973,11.0,-14.0,Summer,Atlantic,-1558472.8711058304,1232106.80189676,1973,8,19.0,-66.2,Autumn,Atlantic,-7369350.290514711,2154935.9150858917,1973,9,10.25 days,5974.302141498876,250920.6899429528
